trial type mov.direction cursor.rotation selector_angle selector_prop max_vel vmax_x vmax_y final_x final_y movement_overshoot overshoot_answer timestamp
1 active 0 0.0 nan nan 0.3742922962595524 -0.0267523110188763 0.021630382234142265 -0.021877600449764084 0.09455730884464897 nan nan 1675957238.9948153
2 active 0 -0.4 nan nan 0.46232751745765804 -0.02322390090004131 0.027130238677601226 -0.018669260611056223 0.10155023180615785 nan nan 1675957245.016911
3 active 0 -0.8 nan nan 0.45968508706841 -0.019678000711935446 0.029716421569118134 -0.02283323442349325 0.09250945142446121 nan nan 1675957251.978972
4 active 0 -1.2 nan nan 0.4325619430371482 -0.02492460605164573 0.03504203243515136 -0.025428237099243984 0.1064267512000735 nan nan 1675957258.404387
5 active 0 -1.6 nan nan 0.47204157623111587 -0.0262458598826078 0.02519175052845024 -0.018157517541783828 0.10327219734456716 nan nan 1675957264.7826867
6 active 0 -2.0 nan nan 0.4469440255770618 -0.028199782125087284 0.036155058679198104 -0.028209012484261713 0.09479894259311616 nan nan 1675957270.9438188
7 active 0 -2.4 nan nan 0.394354152758489 -0.028814737057742967 0.025348688241529915 -0.033098849100486785 0.0888288586615329 nan nan 1675957277.2025635
8 active 0 -2.8 nan nan 0.44128104194130174 -0.02274796550930603 0.037657194998541366 -0.0257889180441456 0.09698037456134645 nan nan 1675957283.450864
9 active 0 -3.2 nan nan 0.42269413070388434 -0.025881644083603713 0.03146360571580109 -0.025691987740811297 0.0934027304663646 nan nan 1675957289.8926413
10 active 0 nan nan nan 0.3983532103183622 -0.030486465156281606 0.030123874565607056 -0.03289576408509102 0.08125798014737384 nan nan 1675957296.0971315
11 active 0 -4.0 nan nan 0.47928099929026824 -0.03265299767389988 0.044622238438970174 -0.03660479296136178 0.10833268587558309 nan nan 1675957302.145129
12 active 0 -4.4 nan nan 0.4364130795087787 -0.03091247956490323 0.017895596210170006 -0.0288749732323994 0.08889610748276555 nan nan 1675957308.5479298
