trial,type,target.direction,mov.direction,cursor.rotation,force.field,target.type
1,active,0,0,0,none,point
2,active,0,0,-0.4,none,point
3,active,0,0,-0.8,none,point
4,active,0,0,-1.2,none,point
5,active,0,0,-1.6,none,point
6,active,0,0,-2,none,point
7,active,0,0,-2.4,none,point
8,active,0,0,-2.8,none,point
9,active,0,0,-3.2,none,point
10,active,0,0,NaN,none,arc
11,active,0,0,-4,none,point
12,active,0,0,-4.4,none,point
13,active,0,0,-4.8,none,point
14,active,0,0,-5.2,none,point
15,active,0,0,-5.6,none,point
16,active,0,0,-6,none,point
17,active,0,0,-6.4,none,point
18,active,0,0,-6.8,none,point
19,active,0,0,-7.2,none,point
20,active,0,0,-7.6,none,point
21,active,0,0,-8,none,point
22,active,0,0,NaN,none,arc
23,active,0,0,-8.8,none,point
24,active,0,0,-9.2,none,point
25,active,0,0,-9.6,none,point
26,active,0,0,-10,none,point
27,active,0,0,-10.4,none,point
28,active,0,0,-10.8,none,point
29,active,0,0,-11.2,none,point
30,active,0,0,NaN,none,arc
31,active,0,0,-12,none,point
32,active,0,0,-12.4,none,point
33,active,0,0,-12.8,none,point
34,active,0,0,-13.2,none,point
35,active,0,0,-13.6,none,point
36,active,0,0,-14,none,point
37,active,0,0,-14.4,none,point
38,active,0,0,-14.8,none,point
39,active,0,0,-15.2,none,point
40,active,0,0,-15.6,none,point
41,active,0,0,-16,none,point
42,active,0,0,NaN,none,arc
43,active,0,0,-16.8,none,point
44,active,0,0,-17.2,none,point
45,active,0,0,-17.6,none,point
46,active,0,0,-18,none,point
47,active,0,0,-18.4,none,point
48,active,0,0,-18.8,none,point
49,active,0,0,-19.2,none,point
50,active,0,0,-19.6,none,point
51,active,0,0,NaN,none,arc
52,active,0,0,-20.4,none,point
53,active,0,0,-20.8,none,point
54,active,0,0,-21.2,none,point
55,active,0,0,-21.6,none,point
56,active,0,0,-22,none,point
57,active,0,0,NaN,none,arc
58,active,0,0,-22.8,none,point
59,active,0,0,-23.2,none,point
60,active,0,0,-23.6,none,point
61,active,0,0,-24,none,point
62,active,0,0,-24.4,none,point
63,active,0,0,-24.8,none,point
64,active,0,0,-25.2,none,point
65,active,0,0,-25.6,none,point
66,active,0,0,NaN,none,arc
67,active,0,0,-26.4,none,point
68,active,0,0,-26.8,none,point
69,active,0,0,-27.2,none,point
70,active,0,0,-27.6,none,point
71,active,0,0,-28,none,point
72,active,0,0,-28.4,none,point
73,active,0,0,-28.8,none,point
74,active,0,0,-29.2,none,point
75,active,0,0,-29.6,none,point
76,active,0,0,-30,none,point
77,active,0,0,NaN,none,arc
78,active,0,0,-30,none,point
79,active,0,0,-30,none,point
80,active,0,0,-30,none,point
81,active,0,0,-30,none,point
82,active,0,0,-30,none,point
83,active,0,0,-30,none,point
84,active,0,0,-30,none,point
85,active,0,0,-30,none,point
86,active,0,0,-30,none,point
87,active,0,0,-30,none,point
88,active,0,0,-30,none,point
89,active,0,0,NaN,none,arc
90,active,0,0,-30,none,point
91,active,0,0,-30,none,point
92,active,0,0,-30,none,point
93,active,0,0,-30,none,point
94,active,0,0,-30,none,point
95,active,0,0,-30,none,point
96,active,0,0,-30,none,point
97,active,0,0,-30,none,point
98,active,0,0,-30,none,point
99,active,0,0,NaN,none,arc
100,active,0,0,-30,none,point
101,active,0,0,-30,none,point
102,active,0,0,-30,none,point
103,active,0,0,-30,none,point
104,active,0,0,-30,none,point
105,active,0,0,-30,none,point
106,active,0,0,-30,none,point
107,active,0,0,-30,none,point
108,active,0,0,-30,none,point
109,active,0,0,NaN,none,arc
110,active,0,0,-30,none,point
111,active,0,0,-30,none,point
112,active,0,0,-30,none,point
113,active,0,0,-30,none,point
114,active,0,0,-30,none,point
115,active,0,0,-30,none,point
116,active,0,0,-30,none,point
117,active,0,0,-30,none,point
118,active,0,0,-30,none,point
119,active,0,0,NaN,none,arc
120,active,0,0,-30,none,point
121,active,0,0,-30,none,point
122,active,0,0,-30,none,point
123,active,0,0,-30,none,point
124,active,0,0,-30,none,point
125,active,0,0,-30,none,point
126,active,0,0,-30,none,point
127,active,0,0,-30,none,point
128,active,0,0,NaN,none,arc
129,active,0,0,-30,none,point
130,active,0,0,-30,none,point
131,active,0,0,-30,none,point
132,active,0,0,-30,none,point
133,active,0,0,-30,none,point
134,active,0,0,-30,none,point
135,active,0,0,-30,none,point
136,active,0,0,-30,none,point
137,active,0,0,NaN,none,arc
138,active,0,0,-30,none,point
139,active,0,0,-30,none,point
140,active,0,0,-30,none,point
141,active,0,0,-30,none,point
142,active,0,0,-30,none,point
143,active,0,0,-30,none,point
144,active,0,0,-30,none,point
145,active,0,0,-30,none,point
146,active,0,0,NaN,none,arc
147,active,0,0,-30,none,point
148,active,0,0,-30,none,point
149,active,0,0,-30,none,point
150,active,0,0,-30,none,point
