trial,type,target.direction,mov.direction,cursor.rotation,force.field,target.type
1,active,0,0,NaN,none,arc
2,active,0,0,NaN,none,arc
3,active,0,0,NaN,none,arc
4,active,0,0,NaN,none,arc
5,active,0,0,NaN,none,arc
6,active,0,0,NaN,none,arc
7,active,0,0,NaN,none,arc
8,active,0,0,NaN,none,arc
9,active,0,0,NaN,none,arc
10,active,0,0,NaN,none,arc
11,active,0,0,NaN,none,arc
12,active,0,0,NaN,none,arc
13,active,0,0,NaN,none,arc
14,active,0,0,NaN,none,arc
15,active,0,0,NaN,none,arc
16,active,0,0,NaN,none,arc
17,active,0,0,NaN,none,arc
18,active,0,0,NaN,none,arc
19,active,0,0,NaN,none,arc
20,active,0,0,NaN,none,arc
21,active,0,0,NaN,none,arc
22,active,0,0,NaN,none,arc
23,active,0,0,NaN,none,arc
24,active,0,0,NaN,none,arc
25,active,0,0,NaN,none,arc
26,active,0,0,NaN,none,arc
27,active,0,0,NaN,none,arc
28,active,0,0,NaN,none,arc
29,active,0,0,NaN,none,arc
30,active,0,0,NaN,none,arc
31,active,0,0,NaN,none,arc
32,active,0,0,NaN,none,arc
33,active,0,0,NaN,none,arc
34,active,0,0,NaN,none,arc
35,active,0,0,NaN,none,arc
36,active,0,0,NaN,none,arc
37,active,0,0,NaN,none,arc
38,active,0,0,NaN,none,arc
39,active,0,0,NaN,none,arc
40,active,0,0,NaN,none,arc
41,active,0,0,NaN,none,arc
42,active,0,0,NaN,none,arc
43,active,0,0,NaN,none,arc
44,active,0,0,NaN,none,arc
45,active,0,0,NaN,none,arc
46,active,0,0,NaN,none,arc
47,active,0,0,NaN,none,arc
48,active,0,0,NaN,none,arc
49,active,0,0,NaN,none,arc
50,active,0,0,NaN,none,arc
51,active,0,0,NaN,none,arc
52,active,0,0,NaN,none,arc
53,active,0,0,NaN,none,arc
54,active,0,0,NaN,none,arc
55,active,0,0,NaN,none,arc
56,active,0,0,NaN,none,arc
57,active,0,0,NaN,none,arc
58,active,0,0,NaN,none,arc
59,active,0,0,NaN,none,arc
60,active,0,0,NaN,none,arc
61,active,0,0,NaN,none,arc
62,active,0,0,NaN,none,arc
63,active,0,0,NaN,none,arc
64,active,0,0,NaN,none,arc
65,active,0,0,NaN,none,arc
66,active,0,0,NaN,none,arc
67,active,0,0,NaN,none,arc
68,active,0,0,NaN,none,arc
69,active,0,0,NaN,none,arc
70,active,0,0,NaN,none,arc
71,active,0,0,NaN,none,arc
72,active,0,0,NaN,none,arc
73,active,0,0,NaN,none,arc
74,active,0,0,NaN,none,arc
75,active,0,0,NaN,none,arc
76,active,0,0,NaN,none,arc
77,active,0,0,NaN,none,arc
78,active,0,0,NaN,none,arc
79,active,0,0,NaN,none,arc
80,active,0,0,NaN,none,arc
81,active,0,0,NaN,none,arc
82,active,0,0,NaN,none,arc
83,active,0,0,NaN,none,arc
84,active,0,0,NaN,none,arc
85,active,0,0,NaN,none,arc
86,active,0,0,NaN,none,arc
87,active,0,0,NaN,none,arc
88,active,0,0,NaN,none,arc
89,active,0,0,NaN,none,arc
90,active,0,0,NaN,none,arc
91,active,0,0,NaN,none,arc
92,active,0,0,NaN,none,arc
93,active,0,0,NaN,none,arc
94,active,0,0,NaN,none,arc
95,active,0,0,NaN,none,arc
96,active,0,0,NaN,none,arc
97,active,0,0,NaN,none,arc
98,active,0,0,NaN,none,arc
99,active,0,0,NaN,none,arc
100,active,0,0,NaN,none,arc
101,active,0,0,NaN,none,arc
102,active,0,0,NaN,none,arc
103,active,0,0,NaN,none,arc
104,active,0,0,NaN,none,arc
105,active,0,0,NaN,none,arc
106,active,0,0,NaN,none,arc
107,active,0,0,NaN,none,arc
108,active,0,0,NaN,none,arc
109,active,0,0,NaN,none,arc
110,active,0,0,NaN,none,arc
111,active,0,0,NaN,none,arc
112,active,0,0,NaN,none,arc
113,active,0,0,NaN,none,arc
114,active,0,0,NaN,none,arc
115,active,0,0,NaN,none,arc
116,active,0,0,NaN,none,arc
117,active,0,0,NaN,none,arc
118,active,0,0,NaN,none,arc
119,active,0,0,NaN,none,arc
120,active,0,0,NaN,none,arc
121,active,0,0,NaN,none,arc
122,active,0,0,NaN,none,arc
123,active,0,0,NaN,none,arc
124,active,0,0,NaN,none,arc
125,active,0,0,NaN,none,arc
126,active,0,0,NaN,none,arc
127,active,0,0,NaN,none,arc
128,active,0,0,NaN,none,arc
129,active,0,0,NaN,none,arc
130,active,0,0,NaN,none,arc
131,active,0,0,NaN,none,arc
132,active,0,0,NaN,none,arc
133,active,0,0,NaN,none,arc
134,active,0,0,NaN,none,arc
135,active,0,0,NaN,none,arc
136,active,0,0,NaN,none,arc
137,active,0,0,NaN,none,arc
138,active,0,0,NaN,none,arc
139,active,0,0,NaN,none,arc
140,active,0,0,NaN,none,arc
141,active,0,0,NaN,none,arc
142,active,0,0,NaN,none,arc
143,active,0,0,NaN,none,arc
144,active,0,0,NaN,none,arc
145,active,0,0,NaN,none,arc
146,active,0,0,NaN,none,arc
147,active,0,0,NaN,none,arc
148,active,0,0,NaN,none,arc
149,active,0,0,NaN,none,arc
150,active,0,0,NaN,none,arc
151,active,0,0,NaN,none,arc
152,active,0,0,NaN,none,arc
153,active,0,0,NaN,none,arc
154,active,0,0,NaN,none,arc
155,active,0,0,NaN,none,arc
156,active,0,0,NaN,none,arc
157,active,0,0,NaN,none,arc
158,active,0,0,NaN,none,arc
159,active,0,0,NaN,none,arc
160,active,0,0,NaN,none,arc
161,active,0,0,NaN,none,arc
162,active,0,0,NaN,none,arc
